###TsSection	#
Wii Music Editor Plus	Wiiミュージックエディタープラス
Could not revert songs	曲を元に戻すことができませんでした
Could not revert message file	メッセージファイルを元に戻すことができませんでした
Could not revert styles	スタイルを元に戻すことができませんでした
Could not revert main.dol	main.dolを元に戻すことができませんでした
Files Reverted!	ファイルが元に戻りました！
Riivolution Creator	Riivolutionクリエーター
Mod Name:	Mod名：
Saving to:	保存先：
Copy to SD Card:	SDカードにコピー：
Geckocode Copy Method:	Geckocodeコピー方法：
Patch Main.dol	パッチMain.dol
Copy Codes	コードをコピーする
Do Nothing	何もしない
Create!	作成！
Creation Complete!	作成完了！
Rom Settings	ROM設定
Fallback Region (Used if rom region can't be determinded):	フォールバックリージョン（ROMリージョンを判別できない場合に使用）：
US	我ら
Europe	ヨーロッパ
Japan	日本
Korea	韓国
Remove changes from Changes.ini when reverting changes	変更を元に戻すときにChanges.iniから変更を削除します
Load Song and Score separately	ソングとスコアを別々にロードする
Add the Rapper Crash fix to Gecko codes	RapperCrash修正をGeckoコードに追加します
Normalize Midi (Makes Midis more Wii Music friendly)	ミディを正規化する（ミディをよりWii音楽にやさしいものにする）
Updates	更新
Check for Updates on Startup	起動時に更新を確認する
Switch to Beta	ベータ版に切り替える
Debug Options	デバッグオプション
Unsafe mode (Enables options that might crash the game)	安全でないモード（ゲームをクラッシュさせる可能性のあるオプションを有効にします）
General	全般的
Dolphin Path	イルカの小道
No Specified Path	指定されたパスがありません
Dolphin Save Path	イルカセーブパス
Default Path	デフォルトパス
Set as Default	デフォルトとして設定
Gecko Codes	Geckoコード
Copy Gecko codes to Dolphin save directory	GeckoコードをDolphin保存ディレクトリにコピーします
Force Enable Cheats when launching Dolphin	Dolphinを起動するときにチートを強制的に有効にする
Appearence	出現
Language:	言語：
Rom Language:	ロマ語：
Editor Settings	エディター設定
Switch to Main	メインに切り替えます
Not a Dolphin Save Directory	イルカの保存ディレクトリではありません
Wii and GameSettings folder not found	WiiとGameSettingsフォルダーが見つかりません
English	英語
French	フランス語
Spanish	スペイン語
Germen	ゲルメン
Italian	イタリア語
Korean	韓国語
Completed!	完了しました！
Updater	アップデータ
New Update Available!	新しいアップデートが利用可能です！
Update	アップデート
Downloading From Github...	Githubからダウンロードしています...
No New Updates :(	新しい更新はありません:(
Currently Loaded Folder:	現在ロードされているフォルダ：
Mii Maestro	Mii Maestro
Handbell Harmony	ハンドベルハーモニー
Replaced	交換済み
Not a valid Wii Music folder	有効なWiiミュージックフォルダではありません
Files and sys folder not found	ファイルとsysフォルダーが見つかりません
Unable to load song editor	ソングエディタを読み込めません
Must load Wii Music Rom, Brsar, or Message File	WiiミュージックROM、Brsar、またはメッセージファイルをロードする必要があります
Unable to load style editor	スタイルエディタを読み込めません
Must load Wii Music Rom, Message File, or Geckocode	WiiミュージックROM、メッセージファイル、またはGeckocodeをロードする必要があります
Unable to load text editor	テキストエディタを読み込めません
Must load Wii Music Rom or Message File	WiiミュージックROMまたはメッセージファイルをロードする必要があります
Unable to load default style editor	デフォルトのスタイルエディタを読み込めません
Must load Wii Music Rom or Geckocode	WiiミュージックROMまたはGeckocodeをロードする必要があります
Unable to remove songs	曲を削除できません
Must load Wii Music Rom or Main.dol	WiiミュージックROMまたはMain.dolをロードする必要があります
Load .rwav File	.rwavファイルをロードします
Unable to load sound editor	サウンドエディタを読み込めません
Must load Wii Music Rom or Brsar	WiiミュージックROMまたはBrsarをロードする必要があります
Unable to create .gct file	.gctファイルを作成できません
Main.dol Patched!	Main.dolにパッチが適用されました！
Unable to patch Main.dol	Main.dolにパッチを適用できません
Must load Wii Music Rom, Main.dol, or Geckocode	Wii Music Rom、Main.dol、またはGeckocodeをロードする必要があります
Unable to create Riivolution patch	Riivolutionパッチを作成できません
Must load Wii Music Rom	WiiミュージックROMをロードする必要があります
Unable to revert changes	変更を元に戻すことができません
Unable to pack rom	ROMをパックできません
Files Successfully Imported!	ファイルが正常にインポートされました！
Unable to import files	ファイルをインポートできません
Files Exported	エクスポートされたファイル
Files not Exported	エクスポートされないファイル
Unable to export files	ファイルをエクスポートできません
Rom Change File	Rom変更ファイル
Unable to import changes	変更をインポートできません
Unable to launch Dolphin	Dolphinを起動できません
Loaded file must be a complete rom	ロードされたファイルは完全なROMでなければなりません
Dolphin path not specified	イルカの道が指定されていません
Go to settings to add a Dolphin path	設定に移動して、イルカのパスを追加します
Check the Dolphin path in the settings	設定でイルカの道を確認してください
Are you sure you want to overwrite your save file?	保存ファイルを上書きしてもよろしいですか？
Save file copied!	コピーしたファイルを保存してください！
Unable to copy save file	保存ファイルをコピーできません
Songs Saved to: Program Path	保存先の曲：プログラムパス
Midi-Type File	MIDIタイプのファイル
Songs Successfully Destroyed!!!	曲が正常に破棄されました!!!
Could not remove songs	曲を削除できませんでした
One or more errors have occurred	1つ以上のエラーが発生しました
Could not load file	ファイルを読み込めませんでした
