###TsSection	#
Bass for Basic, Latin, and Ballad Drums	Basso per batteria base, latina e ballata
Female Variant	Variante femminile
Hand Clap	Applauso
Male Variant	Variante maschile
Timbales	timballi
Taiko Drums	Tamburi Taiko
Female Varient	Variante femminile
Female	Femmina
Male	Maschio
Beat Boxer	Ritmatore
Drum Mode	Modalità batteria
Wii Music Editor Plus - Error	Wii Music Editor Plus - Errore
Close	Vicino
Create Geckocode	Crea Gecocodice
Could not import change	Impossibile importare la modifica
Import Changes	Importa modifiche
Finished Importing Changes	Terminata l'importazione delle modifiche
Importing Change {} out of {}	Importazione modifica {} da {}
Currently Loaded File:	File attualmente caricato:
No File Loaded	Nessun file caricato
Song Editor	Editor di canzoni
Style Editor	Editor di stile
Advanced Features	Funzionalità avanzate
Change All Text	Cambia tutto il testo
Change Default Styles	Cambia stili predefiniti
Replace Sounds	Sostituisci suoni
Remove Song	Rimuovi canzone
Convert Geckocode to .gct	Converti Geckocode in .gct
Patch Main.dol with Geckocode	Patch Main.dol con Geckocode
Create Riivolution Patch	Crea Patch Riivoluzione
Rom Editing	Modifica Rom
Revert Changes	Ripristina modifiche
Pack Rom Filesystem	Pack Rom Filesystem
Import Files	Importa file
Export Files	Esporta file
Back	Indietro
Replace Song	Sostituisci canzone
Load a Midi-Type file	Carica un file di tipo Midi
Browse	Navigare
SCORE:	PUNTO:
SONG:	CANZONE:
Replace SONG seperatly	Sostituisci SONG separatamente
Tempo:	Tempo:
Length:	Lunghezza:
Measures	Le misure
Beats	battiti
Time Signature:	Indicazione di tempo:
Change Song Text	Cambia il testo della canzone
Name:	Nome:
Genre:	Genere:
Description:	Descrizione:
Patch!	Toppa!
Song to change	Canzone da cambiare
Style:	Stile:
Edit in Style Editor	Modifica nell'editor di stile
Change Default Style	Cambia stile predefinito
Parts	Parti
Bass:	Basso:
Perc 1:	Perc 1:
Harmony:	Armonia:
Chords:	Accordi:
Perc 2:	Perc 2:
Melody:	Melodia:
Reset to Default	Riportare alle condizioni originali
Instruments	Strumenti
Part to Change:	Parte da cambiare:
Melody	Melodia
Harmony	Armonia
Chords	accordi
Bass	Basso
Percussion 1	Percussioni 1
Percussion 2	Percussioni 2
Style to change	Stile da cambiare
Style Name:	Nome stile:
Text Editor	Editor di testo
Open in External Editor	Apri nell'editor esterno
Default Style Editor	Editor di stile predefinito
Song List	Lista delle canzoni
Style List	Lista degli stili
Set to Default	Imposta su predefinito
Remove Songs	Rimuovi canzoni
Remove All Non-Custom Songs	Rimuovi tutti i brani non personalizzati
Deselect All	Deselezionare tutto
Purge Songs!!!	Elimina le canzoni!!!
Sound Editor	Editor del suono
Sound List	Elenco dei suoni
File	File
Load a Rwav-Type file	Carica un file di tipo Rwav
Sound Types	Tipi di suono
Select All	Seleziona tutto
Play Audio	Riproduci audio
Options	Opzioni
Help	Aiuto
Load Wii Music File	Carica file musicale Wii
Load Wii Music Folder	Carica la cartella Wii Music
Run Dolphin	Corri Delfino
F5	F5
Run Dolphin (Menu)	Corri Dolphin (Menu)
F6	F6
Check for Updates	Controlla gli aggiornamenti
Settings	Impostazioni
Download Pre-made Songs	Scarica brani già pronti
Open Wiki	Apri Wiki
Open Save Folder	Apri cartella di salvataggio
Add 100% Save File to Dolphin	Aggiungi il 100% di salvataggio del file a Dolphin
Game Documentation	Documentazione del gioco
About	Di
Donate	Donare
Wii Backup File System	Wii Backup File System
Rom Successfuly Packed!	Rom imballato con successo!
Could not pack rom	Impossibile imballare la rom
Rom Type:	Tipo Rom:
Patch Main.dol with Geckocodes	Patch Main.dol con Geckocodes
Songs	Canzoni
Styles	Stili
Text	Testo
Main.dol	Main.dol
Revert!	Ripristina!
Could not revert songs	Impossibile ripristinare i brani
Could not revert message file	Impossibile ripristinare il file del messaggio
Could not revert styles	Impossibile ripristinare gli stili
Could not revert main.dol	Impossibile ripristinare main.dol
Files Reverted!	File ripristinati!
Riivolution Creator	Creatore Rivoluzione
Mod Name:	Nome del modulo:
Saving to:	Salvataggio in:
Copy to SD Card:	Copia su scheda SD:
Geckocode Copy Method:	Metodo di copia del gecocodice:
Patch Main.dol	Patch Main.dol
Copy Codes	Copia codici
Do Nothing	Fare niente
Create!	Creare!
Creation Complete!	Creazione completata!
Rom Settings	Impostazioni Rom
Fallback Region (Used if rom region can't be determinded):	Regione di fallback (usata se la regione della ROM non può essere determinata):
US	noi
Europe	Europa
Japan	Giappone
Korea	Corea
Remove changes from Changes.ini when reverting changes	Rimuovere le modifiche da Changes.ini quando si ripristinano le modifiche
Load Song and Score separately	Carica brano e spartito separatamente
Add the Rapper Crash fix to Gecko codes	Aggiungi la correzione di Rapper Crash ai codici Gecko
Normalize Midi (Makes Midis more Wii Music friendly)	Normalize Midi (rende Midis più compatibile con Wii Music)
Updates	Aggiornamenti
Check for Updates on Startup	Controlla aggiornamenti all'avvio
Switch to Beta	Passa alla versione beta
Debug Options	Opzioni di debug
Unsafe mode (Enables options that might crash the game)	Modalità non sicura (abilita le opzioni che potrebbero bloccare il gioco)
General	Generale
Dolphin Path	Sentiero dei delfini
No Specified Path	Nessun percorso specificato
Dolphin Save Path	Percorso di salvataggio dei delfini
Default Path	Percorso predefinito
Set as Default	Imposta come predefinito
Gecko Codes	Codici Geco
Copy Gecko codes to Dolphin save directory	Copia i codici Gecko nella directory di salvataggio di Dolphin
Force Enable Cheats when launching Dolphin	Forza abilita i trucchi all'avvio di Dolphin
Appearence	Aspetto
Language:	Lingua:
Rom Language:	Lingua Rom:
Editor Settings	Impostazioni dell'editor
Switch to Main	Passa a Principale
Not a Dolphin Save Directory	Non è una directory di salvataggio di Dolphin
Wii and GameSettings folder not found	Cartella Wii e GameSettings non trovata
English	inglese
French	francese
Spanish	spagnolo
Germen	tedesco
Italian	italiano
Korean	coreano
Completed!	Completato!
Updater	Aggiornatore
New Update Available!	Nuovo aggiornamento disponibile!
Update	Aggiornare
Downloading From Github...	Download da Github...
No New Updates :(	Nessun nuovo aggiornamento :(
Currently Loaded Folder:	Cartella attualmente caricata:
Mii Maestro	Mii Maestro
Handbell Harmony	Armonia del campanello
Replaced	Sostituito
Not a valid Wii Music folder	Non è una cartella Wii Music valida
Files and sys folder not found	File e cartella sys non trovati
Unable to load song editor	Impossibile caricare l'editor dei brani
Must load Wii Music Rom, Brsar, or Message File	È necessario caricare Wii Music Rom, Brsar o file di messaggi
Unable to load style editor	Impossibile caricare l'editor di stile
Must load Wii Music Rom, Message File, or Geckocode	Devi caricare Wii Music Rom, Message File o Geckocode
Unable to load text editor	Impossibile caricare l'editor di testo
Must load Wii Music Rom or Message File	È necessario caricare Wii Music Rom o un file di messaggio
Unable to load default style editor	Impossibile caricare l'editor di stile predefinito
Must load Wii Music Rom or Geckocode	Devi caricare Wii Music Rom o Geckocode
Unable to remove songs	Impossibile rimuovere i brani
Must load Wii Music Rom or Main.dol	Devi caricare Wii Music Rom o Main.dol
Load .rwav File	Carica file .rwav
Unable to load sound editor	Impossibile caricare l'editor audio
Must load Wii Music Rom or Brsar	Devi caricare Wii Music Rom o Brsar
Unable to create .gct file	Impossibile creare il file .gct
Main.dol Patched!	Main.dol Patchato!
Unable to patch Main.dol	Impossibile patchare Main.dol
Must load Wii Music Rom, Main.dol, or Geckocode	Devi caricare Wii Music Rom, Main.dol o Geckocode
Unable to create Riivolution patch	Impossibile creare la patch di Riivolution
Must load Wii Music Rom	Devi caricare Wii Music Rom
Unable to revert changes	Impossibile annullare le modifiche
Unable to pack rom	Impossibile mettere in valigia la rom
Files Successfully Imported!	File importati con successo!
Unable to import files	Impossibile importare i file
Files Exported	File esportati
Files not Exported	File non esportati
Unable to export files	Impossibile esportare i file
Rom Change File	File di modifica della ROM
Unable to import changes	Impossibile importare le modifiche
Unable to launch Dolphin	Impossibile avviare Dolphin
Loaded file must be a complete rom	Il file caricato deve essere una rom completa
Dolphin path not specified	Percorso delfino non specificato
Go to settings to add a Dolphin path	Vai alle impostazioni per aggiungere un percorso Dolphin
Check the Dolphin path in the settings	Controlla il percorso Dolphin nelle impostazioni
Are you sure you want to overwrite your save file?	Sei sicuro di voler sovrascrivere il tuo file di salvataggio?
Save file copied!	Salva il file copiato!
Unable to copy save file	Impossibile copiare il file di salvataggio
Songs Saved to: Program Path	Brani salvati in: Percorso programma
Midi-Type File	File di tipo midi
Songs Successfully Destroyed!!!	Canzoni distrutte con successo!!!
Could not remove songs	Impossibile rimuovere i brani
One or more errors have occurred	Si sono verificati uno o più errori
Could not load file	Impossibile caricare il file
