###TsSection	#
New Update Available!	Nouvelle mise à jour disponible!
Update	Mettre à jour
Downloading From Github...	Téléchargement depuis Github...
No New Updates :(	Pas de nouvelles mises à jour :(
Currently Loaded Folder:	Dossier actuellement chargé :
Mii Maestro	Maestro Mii
Handbell Harmony	Harmonie des cloches
Replaced	Remplacé
Not a valid Wii Music folder	Pas un dossier Wii Music valide
Files and sys folder not found	Fichiers et dossier sys introuvables
Unable to load song editor	Impossible de charger l'éditeur de chanson
Must load Wii Music Rom, Brsar, or Message File	Doit charger Wii Music Rom, Brsar ou un fichier de message
Unable to load style editor	Impossible de charger l'éditeur de style
Must load Wii Music Rom, Message File, or Geckocode	Doit charger Wii Music Rom, Message File ou Geckocode
Unable to load text editor	Impossible de charger l'éditeur de texte
Must load Wii Music Rom or Message File	Doit charger la Wii Music Rom ou le fichier de message
Unable to load default style editor	Impossible de charger l'éditeur de style par défaut
Must load Wii Music Rom or Geckocode	Doit charger Wii Music Rom ou Geckocode
Unable to remove songs	Impossible de supprimer des chansons
Must load Wii Music Rom or Main.dol	Doit charger Wii Music Rom ou Main.dol
Load .rwav File	Charger le fichier .rwav
Unable to load sound editor	Impossible de charger l'éditeur de son
Must load Wii Music Rom or Brsar	Doit charger Wii Music Rom ou Brsar
Unable to create .gct file	Impossible de créer le fichier .gct
Main.dol Patched!	Main.dol patché !
Unable to patch Main.dol	Impossible de patcher Main.dol
Must load Wii Music Rom, Main.dol, or Geckocode	Doit charger Wii Music Rom, Main.dol ou Geckocode
Unable to create Riivolution patch	Impossible de créer le patch Riivolution
Must load Wii Music Rom	Doit charger la Wii Music Rom
Unable to revert changes	Impossible d'annuler les modifications
Unable to pack rom	Impossible d'emballer la rom
Files Successfully Imported!	Fichiers importés avec succès !
Unable to import files	Impossible d'importer des fichiers
Files Exported	Fichiers exportés
Files not Exported	Fichiers non exportés
Unable to export files	Impossible d'exporter les fichiers
Rom Change File	Rom changer le fichier
Unable to import changes	Impossible d'importer les modifications
Unable to launch Dolphin	Impossible de lancer Dolphin
Loaded file must be a complete rom	Le fichier chargé doit être une rom complète
Dolphin path not specified	Chemin des dauphins non spécifié
Go to settings to add a Dolphin path	Allez dans les paramètres pour ajouter un chemin Dolphin
Check the Dolphin path in the settings	Vérifiez le chemin des dauphins dans les paramètres
Are you sure you want to overwrite your save file?	Êtes-vous sûr de vouloir écraser votre fichier de sauvegarde ?
Save file copied!	Enregistrer le fichier copié !
Unable to copy save file	Impossible de copier le fichier de sauvegarde
Songs Saved to: Program Path	Morceaux enregistrés dans : chemin du programme
Midi-Type File	Fichier de type Midi
Songs Successfully Destroyed!!!	Chansons détruites avec succès !!!
Could not remove songs	Impossible de supprimer les chansons
One or more errors have occurred	Une ou plusieurs erreurs se sont produites
Could not load file	Impossible de charger le fichier
