###TsSection	#
Wii and GameSettings folder not found	Wii- und GameSettings-Ordner nicht gefunden
English	Englisch
French	Französisch
Spanish	Spanisch
Germen	Deutsch
Italian	Italienisch
Korean	Koreanisch
Completed!	Vollendet!
Updater	Updater
New Update Available!	Neues Update verfügbar!
Update	Aktualisieren
Downloading From Github...	Herunterladen von Github...
No New Updates :(	Keine neuen Updates :(
Currently Loaded Folder:	Aktuell geladener Ordner:
Mii Maestro	Mii-Maestro
Handbell Harmony	Handglockenharmonie
Replaced	Ersetzt
Not a valid Wii Music folder	Kein gültiger Wii-Musikordner
Files and sys folder not found	Dateien und sys-Ordner nicht gefunden
Unable to load song editor	Song-Editor kann nicht geladen werden
Must load Wii Music Rom, Brsar, or Message File	Muss Wii Music Rom, Brsar oder Message File laden
Unable to load style editor	Der Stileditor kann nicht geladen werden
Must load Wii Music Rom, Message File, or Geckocode	Muss Wii Music Rom, Message File oder Geckocode laden
Unable to load text editor	Texteditor kann nicht geladen werden
Must load Wii Music Rom or Message File	Muss Wii Music Rom oder Nachrichtendatei laden
Unable to load default style editor	Der Standardstil-Editor kann nicht geladen werden
Must load Wii Music Rom or Geckocode	Muss Wii Music Rom oder Geckocode laden
Unable to remove songs	Lieder können nicht entfernt werden
Must load Wii Music Rom or Main.dol	Muss Wii Music Rom oder Main.dol laden
Load .rwav File	.rwav-Datei laden
Unable to load sound editor	Soundeditor kann nicht geladen werden
Must load Wii Music Rom or Brsar	Muss Wii Music Rom oder Brsar laden
Unable to create .gct file	.gct-Datei kann nicht erstellt werden
Main.dol Patched!	Main.dol gepatcht!
Unable to patch Main.dol	Kann Main.dol nicht patchen
Must load Wii Music Rom, Main.dol, or Geckocode	Muss Wii Music Rom, Main.dol oder Geckocode laden
Unable to create Riivolution patch	Riivolution-Patch kann nicht erstellt werden
Must load Wii Music Rom	Muss Wii Music Rom laden
Unable to revert changes	Änderungen können nicht rückgängig gemacht werden
Unable to pack rom	Rom kann nicht gepackt werden
Files Successfully Imported!	Dateien erfolgreich importiert!
Unable to import files	Dateien können nicht importiert werden
Files Exported	Exportierte Dateien
Files not Exported	Dateien nicht exportiert
Unable to export files	Dateien können nicht exportiert werden
Rom Change File	Rom Datei ändern
Unable to import changes	Änderungen können nicht importiert werden
Unable to launch Dolphin	Dolphin kann nicht gestartet werden
Loaded file must be a complete rom	Die geladene Datei muss eine vollständige ROM sein
Dolphin path not specified	Delphinpfad nicht angegeben
Go to settings to add a Dolphin path	Gehen Sie zu den Einstellungen, um einen Dolphin-Pfad hinzuzufügen
Check the Dolphin path in the settings	Überprüfen Sie den Dolphin-Pfad in den Einstellungen
Are you sure you want to overwrite your save file?	Möchten Sie Ihre Speicherdatei wirklich überschreiben?
Save file copied!	Datei kopiert speichern!
Unable to copy save file	Speicherdatei kann nicht kopiert werden
Songs Saved to: Program Path	Songs gespeichert unter: Programmpfad
Midi-Type File	Midi-Type-Datei
Songs Successfully Destroyed!!!	Songs erfolgreich zerstört!!!
Could not remove songs	Lieder konnten nicht entfernt werden
One or more errors have occurred	Ein oder mehrere Fehler sind aufgetreten
Could not load file	Datei konnte nicht geladen werden
