###TsSection	#
Wii Music Editor Plus	Wii 뮤직 에디터 플러스
Jazz Drums	재즈 드럼
Latin Drums	라틴 드럼
Ballad Drums	발라드 드럼
Congas	콩가스
Maracas	마라카스
Tambourine	탬버린
Cuica	쿠이카
Cowbell	카우벨
Clap	박수
Bells	종
Castanets	캐스터네츠
Guiro	귀로
Timpales	팀팔레스
Djembe	젬베
Taiko Drum	타이코 드럼
Cheerleader	치어 리더
Snare Drum	작은 북
Bass Drum	베이스 드럼
Galactic Drums	은하 북
Galactic Congas	은하계 콩가
DJ Turntables	DJ 턴테이블
Black Belt	블랙 벨트
Reggae Drums	레게 드럼
Whistle	휘파람
Beatbox	비트 박스
None	없음
Basic Drum	기본 드럼
Cymbal for Basic, Jazz, Latin, Reggae, and Ballad Drums	기본, 재즈, 라틴, 레게 및 발라드 드럼을 위한 심벌즈
Bass for Basic, Latin, and Ballad Drums	기본, 라틴 및 발라드 드럼용 베이스
Female Variant	여성 변종
Hand Clap	박수
Male Variant	남성 변종
Timbales	팀발스
Taiko Drums	타이코 드럼
Female Varient	여성 변종
Female	여자
Male	남성
Beat Boxer	비트 복서
Drum Mode	드럼 모드
Wii Music Editor Plus - Error	Wii 뮤직 에디터 플러스 - 오류
Close	닫다
Create Geckocode	게코코드 생성
Could not import change	변경사항을 가져올 수 없습니다
Import Changes	변경사항 가져오기
Finished Importing Changes	변경사항 가져오기 완료
Importing Change {} out of {}	{}에서 {} 변경 가져오기
Currently Loaded File:	현재 로드된 파일:
No File Loaded	로드된 파일 없음
Song Editor	노래 편집기
Style Editor	스타일 편집기
Advanced Features	고급 기능
Change All Text	모든 텍스트 변경
Change Default Styles	기본 스타일 변경
Replace Sounds	소리 바꾸기
Remove Song	노래 제거
Convert Geckocode to .gct	Geckocode를 .gct로 변환
Patch Main.dol with Geckocode	Geckocode로 Main.dol 패치하기
Create Riivolution Patch	Riivolution 패치 만들기
Rom Editing	롬 편집
Revert Changes	변경 사항 되돌리기
Pack Rom Filesystem	팩 롬 파일 시스템
Import Files	파일 가져오기
Export Files	파일 내보내기
Back	뒤
Replace Song	노래 바꾸기
Load a Midi-Type file	Midi-Type 파일 로드
Browse	검색
SCORE:	점수:
SONG:	노래:
Replace SONG seperatly	SONG을 별도로 교체
Tempo:	속도:
Length:	길이:
Measures	측정
Beats	비트
Time Signature:	박자표:
Change Song Text	노래 텍스트 변경
Name:	이름:
Genre:	장르:
Description:	설명:
Patch!	반점!
Song to change	바꿀 노래
Style:	스타일:
Edit in Style Editor	스타일 편집기에서 편집
Change Default Style	기본 스타일 변경
Parts	부속
Bass:	베이스:
Perc 1:	퍼크 1:
Harmony:	조화:
Chords:	코드:
Perc 2:	퍼크 2:
Melody:	멜로디:
Reset to Default	기본값으로 재설정
Instruments	악기
Part to Change:	변경할 부분:
Melody	멜로디
Harmony	조화
Chords	화음
Bass	베이스
Percussion 1	타악기 1
Percussion 2	타악기 2
Style to change	변화하는 스타일
Style Name:	스타일 이름:
Text Editor	텍스트 에디터
Open in External Editor	외부 편집기에서 열기
Default Style Editor	기본 스타일 편집기
Song List	노래 목록
Style List	스타일 목록
Set to Default	기본값으로 설정
Remove Songs	노래 제거
Remove All Non-Custom Songs	사용자 지정이 아닌 모든 노래 제거
Deselect All	모두 선택 해제
Purge Songs!!!	퍼지 노래!!!
Sound Editor	사운드 편집기
Sound List	사운드 목록
File	파일
Load a Rwav-Type file	Rwav 유형 파일 로드
Sound Types	사운드 유형
Select All	모두 선택
Play Audio	오디오 재생
Options	옵션
Help	돕다
Load Wii Music File	Wii 음악 파일 로드
Load Wii Music Folder	Wii 음악 폴더 로드
Run Dolphin	돌고래를 실행
F5	F5
Run Dolphin (Menu)	런돌핀(메뉴)
F6	F6
Check for Updates	업데이트 확인
Settings	설정
Download Pre-made Songs	미리 만들어진 노래 다운로드
Open Wiki	위키 열기
Open Save Folder	저장 폴더 열기
Add 100% Save File to Dolphin	돌고래에 100% 저장 파일 추가
Game Documentation	게임 문서
About	에 대한
Donate	기부
Wii Backup File System	Wii 백업 파일 시스템
Rom Successfuly Packed!	롬이 성공적으로 포장되었습니다!
Could not pack rom	ROM을 포장할 수 없습니다
Rom Type:	롬 유형:
Patch Main.dol with Geckocodes	Geckocodes로 Main.dol 패치
Songs	노래
Styles	스타일
Text	텍스트
Main.dol	메인돌
Revert!	돌아가는 것!
Could not revert songs	노래를 되돌릴 수 없습니다
Could not revert message file	메시지 파일을 되돌릴 수 없습니다
Could not revert styles	스타일을 되돌릴 수 없습니다
Could not revert main.dol	main.dol을 되돌릴 수 없습니다
Files Reverted!	파일이 복구되었습니다!
Riivolution Creator	라이볼루션 크리에이터
Mod Name:	모드 이름:
Saving to:	저장 대상:
Copy to SD Card:	SD 카드에 복사:
Geckocode Copy Method:	Geckocode 복사 방법:
Patch Main.dol	패치 Main.dol
Copy Codes	코드 복사
Do Nothing	아무것도하지 마세요
Create!	만들다!
Creation Complete!	생성 완료!
Rom Settings	롬 설정
Fallback Region (Used if rom region can't be determinded):	대체 영역(ROM 영역을 결정할 수 없는 경우 사용):
US	우리를
Europe	유럽
Japan	일본
Korea	한국
Remove changes from Changes.ini when reverting changes	변경 사항을 되돌릴 때 Changes.ini에서 변경 사항 제거
Load Song and Score separately	노래와 악보를 별도로 로드
Add the Rapper Crash fix to Gecko codes	Gecko 코드에 래퍼 충돌 수정 추가
Normalize Midi (Makes Midis more Wii Music friendly)	Midi 정규화(Midis를 Wii 음악에 더 친숙하게 만듭니다)
Updates	업데이트
Check for Updates on Startup	시작 시 업데이트 확인
Switch to Beta	베타로 전환
Debug Options	디버그 옵션
Unsafe mode (Enables options that might crash the game)	안전하지 않은 모드(게임을 중단시킬 수 있는 옵션 활성화)
General	일반적인
Dolphin Path	돌고래 길
No Specified Path	지정된 경로 없음
Dolphin Save Path	돌고래 저장 경로
Default Path	기본 경로
Set as Default	기본값으로 설정
Gecko Codes	도마뱀붙이 코드
Copy Gecko codes to Dolphin save directory	Dolphin 저장 디렉토리에 Gecko 코드 복사
Force Enable Cheats when launching Dolphin	Dolphin을 시작할 때 강제로 치트 활성화
Appearence	외모
Language:	언어:
Rom Language:	롬 언어:
Editor Settings	에디터 설정
Switch to Main	메인으로 전환
Not a Dolphin Save Directory	돌고래 저장 디렉토리가 아닙니다
Wii and GameSettings folder not found	Wii 및 GameSettings 폴더를 찾을 수 없음
English	영어
French	프랑스 국민
Spanish	스페인의
Germen	독일인
Italian	이탈리아 사람
Korean	한국인
Completed!	완전한!
Updater	업데이터
New Update Available!	새로운 업데이트 사용 가능!
Update	업데이트
Downloading From Github...	Github에서 다운로드 중...
No New Updates :(	새로운 업데이트 없음 :(
Currently Loaded Folder:	현재 로드된 폴더:
Mii Maestro	미이 마에스트로
Handbell Harmony	핸드벨 하모니
Replaced	교체됨
Not a valid Wii Music folder	유효한 Wii 음악 폴더가 아닙니다
Files and sys folder not found	파일 및 sys 폴더를 찾을 수 없습니다
Unable to load song editor	노래 편집기를 로드할 수 없습니다
Must load Wii Music Rom, Brsar, or Message File	Wii Music Rom, Brsar 또는 메시지 파일을 로드해야 합니다
Unable to load style editor	스타일 편집기를 로드할 수 없습니다
Must load Wii Music Rom, Message File, or Geckocode	Wii Music Rom, 메시지 파일 또는 Geckocode를 로드해야 합니다
Unable to load text editor	텍스트 편집기를 로드할 수 없습니다
Must load Wii Music Rom or Message File	Wii Music Rom 또는 메시지 파일을 로드해야 합니다
Unable to load default style editor	기본 스타일 편집기를 로드할 수 없습니다
Must load Wii Music Rom or Geckocode	Wii Music Rom 또는 Geckocode를 로드해야 합니다
Unable to remove songs	노래를 삭제할 수 없습니다
Must load Wii Music Rom or Main.dol	Wii Music Rom 또는 Main.dol을 로드해야 합니다
Load .rwav File	.rwav 파일 로드
Unable to load sound editor	사운드 편집기를 로드할 수 없습니다
Must load Wii Music Rom or Brsar	Wii Music Rom 또는 Brsar를 로드해야 합니다
Unable to create .gct file	.gct 파일을 생성할 수 없습니다
Main.dol Patched!	Main.dol 패치!
Unable to patch Main.dol	Main.dol을 패치할 수 없습니다
Must load Wii Music Rom, Main.dol, or Geckocode	Wii Music Rom, Main.dol 또는 Geckocode를 로드해야 합니다
Unable to create Riivolution patch	Riivolution 패치를 생성할 수 없습니다
Must load Wii Music Rom	Wii 뮤직 롬을 로드해야 합니다
Unable to revert changes	변경 사항을 되돌릴 수 없습니다
Unable to pack rom	ROM을 포장할 수 없습니다
Files Successfully Imported!	파일을 성공적으로 가져왔습니다!
Unable to import files	파일을 가져올 수 없습니다
Files Exported	내보낸 파일
Files not Exported	내보내지 않은 파일
Unable to export files	파일을 내보낼 수 없습니다
Rom Change File	롬 변경 파일
Unable to import changes	변경 사항을 가져올 수 없습니다
Unable to launch Dolphin	돌고래를 실행할 수 없습니다
Loaded file must be a complete rom	로드된 파일은 완전한 ROM이어야 합니다
Dolphin path not specified	돌고래 경로가 지정되지 않았습니다
Go to settings to add a Dolphin path	돌고래 경로를 추가하려면 설정으로 이동하세요
Check the Dolphin path in the settings	설정에서 돌고래 경로 확인
Are you sure you want to overwrite your save file?	저장 파일을 덮어쓰시겠습니까?
Save file copied!	저장 파일이 복사되었습니다!
Unable to copy save file	세이브 파일을 복사할 수 없습니다
Songs Saved to: Program Path	저장된 노래: 프로그램 경로
Midi-Type File	미디형 파일
Songs Successfully Destroyed!!!	노래가 성공적으로 파괴되었습니다!!!
Could not remove songs	노래를 삭제할 수 없습니다
One or more errors have occurred	하나 이상의 오류가 발생했습니다
Could not load file	파일을 로드할 수 없습니다
